,Fixed telephone subscriptions,Urban population,Rural population,"Population ages 65 and above, male","Population ages 65 and above, total","Population ages 65 and above, female","Population ages 15-64, total","Population ages 15-64, male","Population ages 15-64, female","Population ages 0-14, male","Population ages 0-14, total","Population ages 0-14, female","Agriculture, forestry, and fishing, value added (current US$)","Industry (including construction), value added (current US$)","Manufacturing, value added (current US$)","Services, value added (current US$)",Mobile cellular subscriptions,Fixed broadband subscriptions,"Air transport, registered carrier departures worldwide",Country
1960,7700.0,724373.0,7898093.0,132017.0,244277.0,112259.0,4788899.0,2540269.0,2248630.0,1804235.0,3589290.0,1785055.0,,,,,0.0,,,Afghanistan
1961,7700.0,763336.0,8026804.0,133126.0,247678.0,114552.0,4877387.0,2580143.0,2297244.0,1843100.0,3665076.0,1821975.0,,,,,,,,Afghanistan
1962,7700.0,805062.0,8163985.0,134135.0,251049.0,116914.0,4971702.0,2622120.0,2349582.0,1885912.0,3746296.0,1860384.0,,,,,,,,Afghanistan
1963,7700.0,849446.0,8308019.0,135134.0,254483.0,119349.0,5067343.0,2663599.0,2403744.0,1934221.0,3835639.0,1901418.0,,,,,,,,Afghanistan
1964,7700.0,896820.0,8458694.0,136263.0,258112.0,121849.0,5162530.0,2705032.0,2457498.0,1987528.0,3934872.0,1947344.0,,,,,,,,Afghanistan
1965,9300.0,947332.0,8617815.0,137579.0,262013.0,124434.0,5255725.0,2747227.0,2508498.0,2046000.0,4047409.0,2001409.0,,,,,0.0,,,Afghanistan
1966,9300.0,1001109.0,8782038.0,139109.0,266251.0,127142.0,5347305.0,2789513.0,2557792.0,2108544.0,4169591.0,2061047.0,,,,,,,,Afghanistan
1967,9300.0,1058060.0,8951970.0,140893.0,270892.0,129999.0,5442953.0,2833897.0,2609056.0,2173321.0,4296185.0,2122863.0,,,,,,,,Afghanistan
1968,9300.0,1118853.0,9128927.0,142852.0,275870.0,133018.0,5544011.0,2881155.0,2662856.0,2240688.0,4427899.0,2187211.0,,,,,,,,Afghanistan
1969,9300.0,1183254.0,9311235.0,144834.0,281033.0,136199.0,5649463.0,2930853.0,2718610.0,2310296.0,4563993.0,2253697.0,,,,,,,,Afghanistan
1970,16000.0,1251968.0,9501003.0,146808.0,286354.0,139546.0,5761195.0,2983967.0,2777229.0,2382629.0,4705422.0,2322793.0,,,,,0.0,,4000.0,Afghanistan
1971,16000.0,1324216.0,9691641.0,148801.0,291874.0,143072.0,5875339.0,3038451.0,2836888.0,2455858.0,4848645.0,2392787.0,,,,,,,4700.0,Afghanistan
1972,16000.0,1400686.0,9886067.0,150816.0,297584.0,146767.0,5993595.0,3095190.0,2898405.0,2530965.0,4995574.0,2464609.0,,,,,,,4800.0,Afghanistan
1973,16000.0,1482681.0,10092624.0,152937.0,303564.0,150627.0,6120994.0,3156767.0,2964227.0,2610297.0,5150747.0,2540450.0,,,,,,,3700.0,Afghanistan
1974,16000.0,1569079.0,10300800.0,155234.0,309807.0,154573.0,6250852.0,3219665.0,3031186.0,2691376.0,5309220.0,2617844.0,,,,,,,4300.0,Afghanistan
